 
HCPC	Seq Num	RIC	Long Description	Short Description	PI1	PI2	PI3	PI4	MPI	CIM1	CIM2	CIM3	MCM1	MCM2	MCM3	Statute	Lab Cert1	Lab Cert2	Lab Cert3	Lab Cert4	Lab Cert5	Lab Cert6	Lab Cert7	Lab Cert8	X-Ref1	X-Ref2	X-Ref3	X-Ref4	X-Ref5	Coverage	ASC Pay Grp	ASC Pay Grp Eff Date	MOG Pay Grp	MOG Pay Ind	MOG Eff Date	Proc Note	BETOS	FILLER	TOS1	TOS2	TOS3	TOS4	TOS5	Anest Base Units	Code Add Date	Action Eff Date	Term Date	Action Code	   
   AM	00100	7	PHYSICIAN, TEAM MEMBER SERVICE	Physician, team member svc									4105.7												   QM					D						0069								  0	19910101	19970101		N	   
   AP	00100	7	DETERMINATION OF REFRACTIVE STATE WAS NOT PERFORMED IN THE COURSE OF DIAGNOSTIC	No dtmn of refractive state																										C														  0	19840101	19970101		N	   
   AP	00200	8	OPHTHALMOLOGICAL EXAMINATION																																														   
   AQ	00100	7	PHYSICIAN PROVIDING A SERVICE IN AN UNLISTED HEALTH PROFESSIONAL SHORTAGE AREA	Physician service HPSA area																										C														  0	20060101	20060101		N	   
   AQ	00200	8	(HPSA)																																														   
   AR	00100	7	PHYSICIAN PROVIDER SERVICES IN A PHYSICIAN SCARCITY AREA	Physician scarcity area																										C														  0	20050101	20050101		N	   
   AS	00100	7	PHYSICIAN ASSISTANT, NURSE PRACTITIONER, OR CLINICAL NURSE SPECIALIST SERVICES	Assistant at surgery service																										C						0069								  0	19880101	19990101		N	   
   AS	00200	8	FOR ASSISTANT AT SURGERY																																														   
   AT	00100	7	ACUTE TREATMENT (THIS MODIFIER SHOULD BE USED WHEN REPORTING SERVICE 98940,	Acute treatment																										C														  0	19840101	19980101		N	   
   AT	00200	8	98941, 98942)																																														   
   AU	00100	7	ITEM FURNISHED IN CONJUNCTION WITH A UROLOGICAL, OSTOMY, OR TRACHEOSTOMY SUPPLY	Uro, ostomy or trach item																										C														  0	20030101	20030101		N	   
   AV	00100	7	ITEM FURNISHED IN CONJUNCTION WITH A PROSTHETIC DEVICE, PROSTHETIC OR ORTHOTIC	Item w prosthetic/orthotic																										C														  0	20030101	20030101		N	   
   AW	00100	7	ITEM FURNISHED IN CONJUNCTION WITH A SURGICAL DRESSING	Item w a surgical dressing																										C														  0	20030101	20030101		N	   
   AX	00100	7	ITEM FURNISHED IN CONJUNCTION WITH DIALYSIS SERVICES	Item w dialysis services																										C						0000								  0	20030101	20030101		N	   
   AY	00100	7	ITEM OR SERVICE FURNISHED TO AN ESRD PATIENT THAT IS NOT FOR THE TREATMENT OF	Item/service not for ESRD tx																										C														  0	20110101	20110101		A	   
   AY	00200	8	ESRD																																														   
   AZ	00100	7	PHYSICIAN PROVIDING A SERVICE IN A DENTAL HEALTH PROFESSIONAL SHORTAGE AREA FOR	Physician serv in dent HPSA																										I														  0	20110101	20110101		A	   
   AZ	00200	8	THE PURPOSE OF AN ELECTRONIC HEALTH RECORD INCENTIVE PAYMENT																																														   
   BA	00100	7	ITEM FURNISHED IN CONJUNCTION WITH PARENTERAL ENTERAL NUTRITION (PEN) SERVICES	Item w pen services																										C														  0	20030101	20030101		N	   
   BL	00100	7	SPECIAL ACQUISITION OF BLOOD AND BLOOD PRODUCTS	Spec acquisition blood prods																										C														  0	20050701	20050701		N	   
   BO	00100	7	ORALLY ADMINISTERED NUTRITION, NOT BY FEEDING TUBE	Nutrition oral admin no tube																										C														  0	20030101	20030101		N	   
   BP	00100	7	THE BENEFICIARY HAS BEEN INFORMED OF THE PURCHASE AND RENTAL OPTIONS AND HAS	Bene electd to purchase item																										C														  0	19920101	19970101		N	   
   BP	00200	8	ELECTED TO PURCHASE THE ITEM																																														   
   BR	00100	7	THE BENEFICIARY HAS BEEN INFORMED OF THE PURCHASE AND RENTAL OPTIONS AND HAS	Bene elected to rent item																										C														  0	19920101	19970101		N	   
   BR	00200	8	ELECTED TO RENT THE ITEM																																														   
   BU	00100	7	THE BENEFICIARY HAS BEEN INFORMED OF THE PURCHASE AND RENTAL OPTIONS AND AFTER	Bene undecided on purch/rent																										C														  0	19920101	19970101		N	   
   BU	00200	8	30 DAYS HAS NOT INFORMED THE SUPPLIER OF HIS/HER DECISION																																														   
   CA	00100	7	PROCEDURE PAYABLE ONLY IN THE INPATIENT SETTING WHEN PERFORMED EMERGENTLY ON AN	Procedure payable inpatient																										C														  0	20030101	20030101		N	   
   CA	00200	8	OUTPATIENT WHO EXPIRES PRIOR TO ADMISSION																																														   
   CB	00100	7	SERVICE ORDERED BY A RENAL DIALYSIS FACILITY (RDF) PHYSICIAN AS PART OF THE	ESRD bene part a snf-sep pay																										C														  0	20030401	20040101		N	   
   CB	00200	8	ESRD BENEFICIARY'S DIALYSIS BENEFIT, IS NOT PART OF THE COMPOSITE RATE, AND IS																																														   
   CB	00300	8	SEPARATELY REIMBURSABLE																																														   
   CC	00100	7	PROCEDURE CODE CHANGE (USE 'CC' WHEN THE PROCEDURE CODE SUBMITTED WAS CHANGED	Procedure code change																										C														  0	19900101	19970101		N	   
   CC	00200	8	EITHER FOR ADMINISTRATIVE REASONS OR BECAUSE AN INCORRECT CODE WAS FILED)																																														   
   CD	00100	7	AMCC TEST HAS BEEN ORDERED BY AN ESRD FACILITY OR MCP PHYSICIAN THAT IS PART OF	AMCC test for ESRD or MCP MD									4270.2																	D														  0	20040101	20040101		N	   
   CD	00200	8	THE COMPOSITE RATE AND IS NOT SEPARATELY BILLABLE																																														   
   CE	00100	7	AMCC TEST HAS BEEN ORDERED BY AN ESRD FACILITY OR MCP PHYSICIAN THAT IS A	Med neces AMCC tst sep reimb									4270.2																	D														  0	20040101	20040101		N	   
   CE	00200	8	COMPOSITE RATE TEST BUT IS BEYOND THE NORMAL FREQUENCY COVERED UNDER THE RATE																																														   
   CE	00300	8	AND IS SEPARATELY REIMBURSABLE BASED ON MEDICAL NECESSITY																																														   
   CF	00100	7	AMCC TEST HAS BEEN ORDERED BY AN ESRD FACILITY OR MCP PHYSICIAN THAT IS NOT	AMCC tst not composite rate									4270.2																	D														  0	20040101	20040101		N	   
   CF	00200	8	PART OF THE COMPOSITE RATE AND IS SEPARATELY BILLABLE																																														   
   CG	00100	7	POLICY CRITERIA APPLIED	Policy criteria applied																										C														  0	20080701	20080701		N	   
   CR	00100	7	CATASTROPHE/DISASTER RELATED	Catastrophe/disaster related																										C														  0	20050821	20050821		N	   
   CS	00100	7	ITEM OR SERVICE RELATED, IN WHOLE OR IN PART, TO AN ILLNESS, INJURY, OR	Gulf Oil 2010 Spill Related																										C														  0	20110101	20110101		A	   
   CS	00200	8	CONDITION THAT WAS CAUSED BY OR EXACERBATED BY THE EFFECTS, DIRECT OR INDIRECT,																																														   
   CS	00300	8	OF THE 2010 OIL SPILL IN THE GULF OF MEXICO, INCLUDING BUT NOT LIMITED TO																																														   
   CS	00400	8	SUBSEQUENT CLEAN-UP ACTIVITIES																																														   
   DA	00100	7	ORAL HEALTH ASSESSMENT BY A LICENSED HEALTH PROFESSIONAL OTHER THAN A DENTIST	Oral health assess, not dent																										C														  0	20110101	20110101		A	     
   E1	00100	7	UPPER LEFT, EYELID	Upper left eyelid																										C														  0	19950101	19990101		N	   
   E2	00100	7	LOWER LEFT, EYELID	Lower left eyelid																										C														  0	19950101	19990101		N	   
   E3	00100	7	UPPER RIGHT, EYELID	Upper right eyelid																										C														  0	19950101	19990101		N	   
   E4	00100	7	LOWER RIGHT, EYELID	Lower right eyelid																										C														  0	19950101	19990101		N	   
   EA	00100	7	ERYTHROPOETIC STIMULATING AGENT (ESA) ADMINISTERED TO TREAT ANEMIA DUE TO	ESA, anemia, chemo-induced																										D						0147								  0	20080101	20080101		N	   
   EA	00200	8	ANTI-CANCER CHEMOTHERAPY																																														   
   EB	00100	7	ERYTHROPOETIC STIMULATING AGENT (ESA) ADMINISTERED TO TREAT ANEMIA DUE TO	ESA, anemia, radio-induced																										D						0147								  0	20080101	20080101		N	   
   EB	00200	8	ANTI-CANCER RADIOTHERAPY																																														   
   EC	00100	7	ERYTHROPOETIC STIMULATING AGENT (ESA) ADMINISTERED TO TREAT ANEMIA NOT DUE TO	ESA, anemia, non-chemo/radio																										D						0147								  0	20080101	20080101		N	   
   EC	00200	8	ANTI-CANCER RADIOTHERAPY OR ANTI-CANCER CHEMOTHERAPY																																														   
   ED	00100	7	HEMATOCRIT LEVEL HAS EXCEEDED 39% (OR HEMOGLOBIN LEVEL HAS EXCEEDED 13.0 G/DL)	HCT>39% or Hgb>13g>=3 cycle																										D						0145								  0	20080101	20080101		N	   
   ED	00200	8	FOR 3 OR MORE CONSECUTIVE BILLING CYCLES IMMEDIATELY PRIOR TO AND INCLUDING THE																																														   
   ED	00300	8	CURRENT CYCLE																																														   
   EE	00100	7	HEMATOCRIT LEVEL HAS NOT EXCEEDED 39% (OR HEMOGLOBIN LEVEL HAS NOT EXCEEDED	HCT>39% or Hgb>13g<3 cycle																										D						0145								  0	20080101	20080101		N	   
   EE	00200	8	13.0 G/DL) FOR 3 OR MORE CONSECUTIVE BILLING CYCLES IMMEDIATELY PRIOR TO AND																																														   
   EE	00300	8	INCLUDING THE CURRENT CYCLE																																														   
   EJ	00100	7	SUBSEQUENT CLAIMS FOR A DEFINED COURSE OF THERAPY, E.G., EPO, SODIUM	Subsequent claim									4273.2																	D														  0	19910101	20000101		N	   
   EJ	00200	8	HYALURONATE, INFLIXIMAB																																														   
   EM	00100	7	EMERGENCY RESERVE SUPPLY (FOR ESRD BENEFIT ONLY)	Emer reserve supply (ESRD)									3045.7																	D														  0	19910101	19970101		N	   
   EP	00100	7	SERVICE PROVIDED AS PART OF MEDICAID EARLY PERIODIC SCREENING DIAGNOSIS AND	Medicaid EPSDT program svc																										C														  0	19870101	19970101		N	   
   EP	00200	8	TREATMENT (EPSDT) PROGRAM																																														   
   ET	00100	7	EMERGENCY SERVICES	Emergency Services																										C														  0	19840101	20020101		N	   
   EY	00100	7	NO PHYSICIAN OR OTHER LICENSED HEALTH CARE PROVIDER ORDER FOR THIS ITEM OR	No md order for item/service																										C														  0	20030101	20030101		N	   
   EY	00200	8	SERVICE																																														   
   F1	00100	7	LEFT HAND, SECOND DIGIT	Left hand, second digit																										C														  0	19950101	19990101		N	   
   F2	00100	7	LEFT HAND, THIRD DIGIT	Left hand, third digit																										C														  0	19950101	19990101		N	   
   F3	00100	7	LEFT HAND, FOURTH DIGIT	Left hand, fourth digit																										C														  0	19950101	19990101		N	   
   F4	00100	7	LEFT HAND, FIFTH DIGIT	Left hand, fifth digit																										C														  0	19950101	19990101		N	   
   F5	00100	7	RIGHT HAND, THUMB	Right hand, thumb																										C														  0	19950101	19990101		N	   
   F6	00100	7	RIGHT HAND, SECOND DIGIT	Right hand, second digit																										C														  0	19950101	19990101		N	   
   F7	00100	7	RIGHT HAND, THIRD DIGIT	Right hand, third digit																										C														  0	19950101	19990101		N	   
   F8	00100	7	RIGHT HAND, FOURTH DIGIT	Right hand, fourth digit																										C														  0	19950101	19990101		N	   
   F9	00100	7	RIGHT HAND, FIFTH DIGIT	Right hand, fifth digit																										C														  0	19950101	19990101		N	   
   FA	00100	7	LEFT HAND, THUMB	Left hand, thumb																										C														  0	19950101	19990101		N	   
   FB	00100	7	ITEM PROVIDED WITHOUT COST TO PROVIDER, SUPPLIER OR PRACTITIONER, OR FULL	Item provided without cost																										I														  0	20060101	20080101		N	   
   FB	00200	8	CREDIT RECEIVED FOR REPLACED DEVICE (EXAMPLES, BUT NOT LIMITED TO, COVERED																																														   
   FB	00300	8	UNDER WARRANTY, REPLACED DUE TO DEFECT, FREE SAMPLES)																																														   
   FC	00100	7	PARTIAL CREDIT RECEIVED FOR REPLACED DEVICE	Part credit, replaced device																										D						0143								  0	20080101	20080101		N	   
   FP	00100	7	SERVICE PROVIDED AS PART OF FAMILY PLANNING PROGRAM	Svc part of family plan pgm																										C														  0	19870101	20050101		N	   
   G1	00100	7	MOST RECENT URR READING OF LESS THAN 60	URR reading of less than 60																										C														  0	19970101	19980101		N	   
   G2	00100	7	MOST RECENT URR READING OF 60 TO 64.9	 URR reading of 60 to 64.9																										C														  0	19970101	19980101		N	   
   G3	00100	7	MOST RECENT URR READING OF 65 TO 69.9	URR  reading of 65 to 69.9																										C														  0	19970101	19980101		N	   
   G4	00100	7	MOST RECENT URR READING OF 70 TO 74.9	URR reading of 70 to 74.9																										C														  0	19970101	19970101		N	   
   G5	00100	7	MOST RECENT URR READING OF 75 OR GREATER	URR reading of 75 or greater																										C														  0	19970101	19980101		N	   
   G6	00100	7	ESRD PATIENT FOR WHOM LESS THAN SIX DIALYSIS SESSIONS HAVE BEEN PROVIDED IN A	ESRD patient <6 dialysis/mth																										C														  0	19980501	19980501		N	   
   G6	00200	8	MONTH																																														   
   G7	00100	7	PREGNANCY RESULTED FROM RAPE OR INCEST OR PREGNANCY CERTIFIED BY PHYSICIAN AS	Payment limits do not apply						35-99			2005.1																	D						0084								  0	19990701	19990701		N	   
   G7	00200	8	LIFE THREATENING																																														   
   G8	00100	7	MONITORED ANESTHESIA CARE (MAC) FOR DEEP COMPLEX, COMPLICATED, OR MARKEDLY	Monitored anesthesia care																										C						0083								  0	19990701	19990701		N	   
   G8	00200	8	INVASIVE SURGICAL PROCEDURE																																														   
   G9	00100	7	MONITORED ANESTHESIA CARE FOR PATIENT WHO HAS HISTORY OF SEVERE	MAC for at risk patient																										C														  0	19990701	19990701		N	   
   G9	00200	8	CARDIO-PULMONARY CONDITION																																														   
   GA	00100	7	WAIVER OF LIABILITY STATEMENT ISSUED AS REQUIRED BY PAYER POLICY, INDIVIDUAL	Liability waiver ind case																										C														  0	19950101	20110101		C	   
   GA	00200	8	CASE																																														   
   GB	00100	7	CLAIM BEING RE-SUBMITTED FOR PAYMENT BECAUSE IT IS NO LONGER COVERED UNDER A	Claim resubmitted																										C														  0	20020101	20020101		N	   
   GB	00200	8	GLOBAL PAYMENT DEMONSTRATION																																														   
   GC	00100	7	THIS SERVICE HAS BEEN PERFORMED IN PART BY A RESIDENT UNDER THE DIRECTION OF A	Resident/teaching phys serv									3350.5	4116																D														  0	19970101	20010101		N	   
   GC	00200	8	TEACHING PHYSICIAN																																														   
   GD	00100	7	UNITS OF SERVICE EXCEEDS MEDICALLY UNLIKELY EDIT VALUE AND REPRESENTS	Unit of service > MUE value																										C														  0	20080101	20080101		N	   
   GD	00200	8	REASONABLE AND NECESSARY SERVICES																																														   
   GE	00100	7	THIS SERVICE HAS BEEN PERFORMED BY A RESIDENT WITHOUT THE PRESENCE OF A	Resident prim care exception									4116																	D														  0	19970101	19970101		N	   
   GE	00200	8	TEACHING PHYSICIAN UNDER THE PRIMARY CARE EXCEPTION																																														   
   GF	00100	7	NON-PHYSICIAN (E.G. NURSE PRACTITIONER (NP), CERTIFIED REGISTERED NURSE	Nonphysician serv c a hosp																										C														  0	20030401	20030401		N	   
   GF	00200	8	ANESTHETIST (CRNA), CERTIFIED REGISTERED NURSE (CRN), CLINICAL NURSE SPECIALIST																																														   
   GF	00300	8	(CNS), PHYSICIAN ASSISTANT (PA)) SERVICES IN A CRITICAL ACCESS HOSPITAL																																														   
   GG	00100	7	PERFORMANCE AND PAYMENT OF A SCREENING MAMMOGRAM AND DIAGNOSTIC MAMMOGRAM ON	Payment screen mam + diagmam																										C														  0	20020101	20020101		N	   
   GG	00200	8	THE SAME PATIENT, SAME DAY																																														   
   GH	00100	7	DIAGNOSTIC MAMMOGRAM CONVERTED FROM SCREENING MAMMOGRAM ON SAME DAY	Diag mammo to screening mamo																										C														  0	19981001	19981001		N	   
   GJ	00100	7	"OPT OUT" PHYSICIAN OR PRACTITIONER EMERGENCY OR URGENT SERVICE	Opt out provider of er srvc																										C														  0	19981001	19981001		N	   
   GK	00100	7	REASONABLE AND NECESSARY ITEM/SERVICE ASSOCIATED WITH A GA OR GZ MODIFIER	Actual item/service ordered																										C														  0	20020101	20080101		N	   
   GL	00100	7	MEDICALLY UNNECESSARY UPGRADE PROVIDED INSTEAD OF NON-UPGRADED ITEM, NO CHARGE,	Upgraded item, no charge																										C														  0	20020101	20080101		N	   
   GL	00200	8	NO ADVANCE BENEFICIARY NOTICE (ABN)																																														   
   GM	00100	7	MULTIPLE PATIENTS ON ONE AMBULANCE TRIP	Multiple transports																										C														  0	20020101	20020101		N	   
   GN	00100	7	SERVICES DELIVERED UNDER AN OUTPATIENT SPEECH LANGUAGE PATHOLOGY PLAN OF CARE	OP speech language service																										C														  0	19990101	20030101		N	   
   GO	00100	7	SERVICES DELIVERED UNDER AN OUTPATIENT OCCUPATIONAL THERAPY PLAN OF CARE	OP occupational therapy serv																										C														  0	19990101	20030101		N	   
   GP	00100	7	SERVICES DELIVERED UNDER AN OUTPATIENT PHYSICAL THERAPY PLAN OF CARE	OP PT services																										C														  0	19990101	20030101		N	   
   GQ	00100	7	VIA ASYNCHRONOUS TELECOMMUNICATIONS SYSTEM	Telehealth store and forward																										C														  0	20011001	20011001		N	   
   GR	00100	7	THIS SERVICE WAS PERFORMED IN WHOLE OR IN PART BY A RESIDENT IN A DEPARTMENT OF	Service by va resident																										C														  0	20060101	20060101		N	   
   GR	00200	8	VETERANS AFFAIRS MEDICAL CENTER OR CLINIC, SUPERVISED IN ACCORDANCE WITH VA																																														   
   GR	00300	8	POLICY																																														   
   GS	00100	7	DOSAGE OF EPO OR DARBEPOIETIN ALFA HAS BEEN REDUCED AND MAINTAINED IN RESPONSE	Epo/darbepoietin reduced 25%									4273.1																	D														  0	20060101	20061001		N	   
   GS	00200	8	TO HEMATOCRIT OR HEMOGLOBIN LEVEL																																														   
   GT	00100	7	VIA INTERACTIVE AUDIO AND VIDEO TELECOMMUNICATION SYSTEMS	InteractiveTelecommunication																										D						0073								  0	19990101	19990101		N	   
   GU	00100	7	WAIVER OF LIABILITY STATEMENT ISSUED AS REQUIRED BY PAYER POLICY, ROUTINE NOTICE	Liability waiver rout notice																										C														  0	20110101	20110101		A	   
   GV	00100	7	ATTENDING PHYSICIAN NOT EMPLOYED OR PAID UNDER ARRANGEMENT BY THE PATIENT'S	Attending phys not hospice									4175-5																	D														  0	20020101	20020101		N	   
   GV	00200	8	HOSPICE PROVIDER																																														   
   GW	00100	7	SERVICE NOT RELATED TO THE HOSPICE PATIENT'S TERMINAL CONDITION	Service unrelated to term co									4175-5																	D														  0	20020101	20020101		N	   
   GX	00100	7	NOTICE OF LIABILITY ISSUED, VOLUNTARY UNDER PAYER POLICY	Voluntary liability notice																										C														  0	20100401	20100401		A	   
   GY	00100	7	ITEM OR SERVICE STATUTORILY EXCLUDED, DOES NOT MEET THE DEFINITION OF ANY	Statutorily excluded																										S														  0	20020101	20070701		N	   
   GY	00200	8	MEDICARE BENEFIT OR, FOR NON-MEDICARE INSURERS, IS NOT A CONTRACT BENEFIT																																														   
   GZ	00100	7	ITEM OR SERVICE EXPECTED TO BE DENIED AS NOT REASONABLE AND NECESSARY	Not reasonable and necessary									2000																	M														  0	20020101	20020101		N	   
   H9	00100	7	COURT-ORDERED	Court-ordered																										I														  0	20030101	20030101		N	   
   HA	00100	7	CHILD/ADOLESCENT PROGRAM	Child/adolescent program																										I														  0	20030101	20030101		N	   
   HB	00100	7	ADULT PROGRAM, NON GERIATRIC	Adult program non-geriatric																										I														  0	20030101	20030101		N	   
   HC	00100	7	ADULT PROGRAM, GERIATRIC	Adult program geriatric																										I														  0	20030101	20030101		N	   
   HD	00100	7	PREGNANT/PARENTING WOMEN'S PROGRAM	Pregnant/parenting program																										I														  0	20030101	20030101		N	   
   HE	00100	7	MENTAL HEALTH PROGRAM	Mental health program																										I														  0	20030101	20030101		N	   
   HF	00100	7	SUBSTANCE ABUSE PROGRAM	Substance abuse program																										I														  0	20030101	20030101		N	   
   HG	00100	7	OPIOID ADDICTION TREATMENT PROGRAM	Opioid addiction tx program																										I														  0	20030101	20030101		N	   
   HH	00100	7	INTEGRATED MENTAL HEALTH/SUBSTANCE ABUSE PROGRAM	Mental hlth/substance abs pr																										I														  0	20030101	20030101		N	   
   HI	00100	7	INTEGRATED MENTAL HEALTH AND MENTAL RETARDATION/DEVELOPMENTAL DISABILITIES	M hlth/m retrdtn/dev dis pro																										I														  0	20030101	20030101		N	   
   HI	00200	8	PROGRAM																																														   
   HJ	00100	7	EMPLOYEE ASSISTANCE PROGRAM	Employee assistance program																										I														  0	20030101	20030101		N	   
   HK	00100	7	SPECIALIZED MENTAL HEALTH PROGRAMS FOR HIGH-RISK POPULATIONS	Spec hgh rsk mntl hlth pop p																										I														  0	20030101	20030101		N	   
   HL	00100	7	INTERN	intern																										I														  0	20030101	20030101		N	   
   HM	00100	7	LESS THAN BACHELOR DEGREE LEVEL	Less than bachelor degree lv																										I														  0	20030101	20030101		N	   
   HN	00100	7	BACHELORS DEGREE LEVEL	Bachelors degree level																										I														  0	20030101	20030101		N	   
   HO	00100	7	MASTERS DEGREE LEVEL	Masters degree level																										I														  0	20030101	20030101		N	   
   HP	00100	7	DOCTORAL LEVEL	Doctoral level																										I														  0	20030101	20030101		N	   
   HQ	00100	7	GROUP SETTING	Group setting																										I														  0	20030101	20030101		N	   
   HR	00100	7	FAMILY/COUPLE WITH CLIENT PRESENT	Family/couple w client prsnt																										I														  0	20030101	20030101		N	   
   HS	00100	7	FAMILY/COUPLE WITHOUT CLIENT PRESENT	Family/couple w/o client prs																										I														  0	20030101	20030101		N	   
   HT	00100	7	MULTI-DISCIPLINARY TEAM	Multi-disciplinary team																										I														  0	20030101	20030101		N	   
   HU	00100	7	FUNDED BY CHILD WELFARE AGENCY	Child welfare agency funded																										I														  0	20030101	20030101		N	   
   HV	00100	7	FUNDED STATE ADDICTIONS AGENCY	Funded state addiction agncy																										I														  0	20030101	20030101		N	   
   HW	00100	7	FUNDED BY STATE MENTAL HEALTH AGENCY	State mntl hlth agncy funded																										I														  0	20030101	20030101		N	   
   HX	00100	7	FUNDED BY COUNTY/LOCAL AGENCY	County/local agency funded																										I														  0	20030101	20030101		N	   
   HY	00100	7	FUNDED BY JUVENILE JUSTICE AGENCY	Funded by juvenile justice																										I														  0	20030101	20030101		N	   
   HZ	00100	7	FUNDED BY CRIMINAL JUSTICE AGENCY	Criminal justice agncy fund																										I														  0	20030101	20030101		N	   
   J1	00100	7	COMPETITIVE ACQUISITION PROGRAM NO-PAY SUBMISSION FOR A PRESCRIPTION NUMBER	CAP no-pay for prescript num																										C														  0	20060101	20060101		N	   
   J2	00100	7	COMPETITIVE ACQUISITION PROGRAM, RESTOCKING OF EMERGENCY DRUGS AFTER EMERGENCY	CAP restock of emerg drugs																										C														  0	20060101	20060101		N	   
   J2	00200	8	ADMINISTRATION																																														   
   J3	00100	7	COMPETITIVE ACQUISITION PROGRAM (CAP), DRUG NOT AVAILABLE THROUGH CAP AS	CAP drug unavail thru cap																										C														  0	20060101	20060101		N	   
   J3	00200	8	WRITTEN, REIMBURSED UNDER AVERAGE SALES PRICE METHODOLOGY																																														   
   J4	00100	7	DMEPOS ITEM SUBJECT TO DMEPOS COMPETITIVE BIDDING PROGRAM THAT IS FURNISHED BY	DMEPOS comp bid furn by hosp																										C														  0	20100101	20100101		N	   
   J4	00200	8	A HOSPITAL UPON DISCHARGE																																														   
   JA	00100	7	ADMINISTERED INTRAVENOUSLY	Administered intravenously																										C														  0	20070101	20070101		N	   
   JB	00100	7	ADMINISTERED SUBCUTANEOUSLY	Administered subcutaneously																										C														  0	20070101	20070101		N	   
   JC	00100	7	SKIN SUBSTITUTE USED AS A GRAFT	Skin substitute graft																										C														  0	20090101	20090101		N	   
   JD	00100	7	SKIN SUBSTITUTE NOT USED AS A GRAFT	Skin sub not used as a graft																										C														  0	20090101	20090101		N	   
   JW	00100	7	DRUG AMOUNT DISCARDED/NOT ADMINISTERED TO ANY PATIENT	Discarded drug not administe																										C														  0	20030101	20030101		N	   
   K0	00100	7	LOWER EXTREMITY PROSTHESIS FUNCTIONAL LEVEL 0 - DOES NOT HAVE THE ABILITY OR	Lwr ext prost functnl lvl 0																										C														  0	19930101	20030101		N	   
   K0	00200	8	POTENTIAL TO AMBULATE OR TRANSFER SAFELY WITH OR WITHOUT ASSISTANCE AND A																																														   
   K0	00300	8	PROSTHESIS DOES NOT ENHANCE THEIR QUALITY OF LIFE OR MOBILITY.																																														   
   K1	00100	7	LOWER EXTREMITY PROSTHESIS FUNCTIONAL LEVEL 1 - HAS THE ABILITY OR POTENTIAL TO	Lwr ext prost functnl lvl 1																										C														  0	19930101	19970101		N	   
   K1	00200	8	USE A PROSTHESIS FOR TRANSFERS OR AMBULATION ON LEVEL SURFACES AT FIXED																																														   
   K1	00300	8	CADENCE. TYPICAL OF THE LIMITED AND UNLIMITED HOUSEHOLD AMBULATOR.																																														   
   K2	00100	7	LOWER EXTREMITY PROSTHESIS FUNCTIONAL LEVEL 2 - HAS THE ABILITY OR POTENTIAL	Lwr ext prost functnl lvl 2																										C														  0	19930101	19970101		N	   
